id,code,kind,parent_id:id,sequence,name,plain_label,name_en,featured,active,description,hint_terms
spec_fnb,fnb,family,,10,کافه، رستوران و خوراک,کافه و رستوران,Food & beverage,0,1,,
spec_skills,skills,family,,200,مهارت‌ها,,Skills,0,1,,
spec_kitchen,kitchen,family,spec_fnb,10,آشپزخانه,آشپزخونه,Kitchen,0,1,,
spec_bar,bar,family,spec_fnb,20,قهوه، چای و نوشیدنی,قهوه و نوشیدنی,"Coffee, tea & beverages",0,1,,
spec_floor,floor,family,spec_fnb,30,سالن و پذیرایی,سالن و پذیرایی,Dining room & guest service,0,1,,
spec_bakery_pastry,bakery-pastry,family,spec_fnb,40,نانوایی، شیرینی و دسر,نون و شیرینی,"Bakery, pastry & desserts",0,1,,
spec_events_catering,events-catering,family,spec_fnb,50,مراسم و کترینگ,مراسم و کترینگ,Events & catering,0,1,,
spec_delivery,delivery,family,spec_fnb,60,ارسال و تحویل,ارسال و تحویل,Delivery,0,1,,
spec_management,management,family,spec_fnb,70,مدیریت,مدیریت,Management,0,1,,
spec_quality_safety,quality-safety,family,spec_fnb,80,کیفیت، ایمنی و تغذیه,کیفیت و ایمنی,"Quality, safety & nutrition",0,1,,
spec_facilities,facilities,family,spec_fnb,90,نگهداری و فنی,کارهای فنی,Facilities & technical,0,1,,
spec_supply_chain,supply-chain,family,spec_fnb,100,خرید، انبار و تأمین,خرید و انبار,"Purchasing, stores & supply",0,1,,
spec_production,production,family,spec_fnb,110,تولیدِ صنعتیِ غذا,تولیدِ غذا,Food production,0,1,,
spec_marketing_digital,marketing-digital,family,spec_fnb,120,بازاریابی و دیجیتال,بازاریابی,Marketing & digital,0,1,,
spec_training_education,training-education,family,spec_fnb,130,آموزش,آموزش,Training & education,0,1,,
spec_agrifood_sourcing,agrifood-sourcing,family,spec_fnb,140,تأمین از مزرعه,مزرعه و تأمین,Farm & sourcing,0,1,,
spec_food_safety,food-safety,family,spec_skills,210,ایمنی و بهداشتِ غذا,,Food safety & hygiene,0,1,,
spec_culinary_techniques,culinary-techniques,family,spec_skills,220,فنونِ آشپزی,,Culinary techniques,0,1,,
spec_baking_pastry,baking-pastry,family,spec_skills,230,نان‌پزی و شیرینی‌پزی,,Baking & pastry,0,1,,
spec_coffee_tea_beverage,coffee-tea-beverage,family,spec_skills,240,قهوه، چای و نوشیدنی,,"Coffee, tea & beverages",0,1,,
spec_guest_service,guest-service,family,spec_skills,250,پذیرایی و مهمان‌نوازی,,Guest service,0,1,,
spec_communication_languages,communication-languages,family,spec_skills,260,ارتباط و زبان,,Communication & languages,0,1,,
spec_sales_cash,sales-cash,family,spec_skills,270,فروش و صندوق,,Sales & cash,0,1,,
spec_equipment_maintenance,equipment-maintenance,family,spec_skills,280,دستگاه‌ها و نگهداری,,Equipment & maintenance,0,1,,
spec_cleaning_sanitation,cleaning-sanitation,family,spec_skills,290,نظافت و گندزدایی,,Cleaning & sanitation,0,1,,
spec_workplace_safety,workplace-safety,family,spec_skills,300,ایمنیِ محیطِ کار,,Workplace safety,0,1,,
spec_management_leadership,management-leadership,family,spec_skills,310,مدیریت و رهبری,,Management & leadership,0,1,,
spec_purchasing_inventory,purchasing-inventory,family,spec_skills,320,خرید و موجودی,,Purchasing & inventory,0,1,,
spec_finance_cost,finance-cost,family,spec_skills,330,مالی و هزینه,,Finance & cost,0,1,,
spec_nutrition_quality,nutrition-quality,family,spec_skills,340,تغذیه و کیفیت,,Nutrition & quality,0,1,,
spec_digital_marketing,digital-marketing,family,spec_skills,350,بازاریابی و دیجیتال,,Digital & marketing,0,1,,
spec_logistics_delivery,logistics-delivery,family,spec_skills,360,حمل و تحویل,,Logistics & delivery,0,1,,
spec_teaching_training,teaching-training,family,spec_skills,370,آموزش دادن,,Teaching & training,0,1,,
spec_agriculture_sourcing,agriculture-sourcing,family,spec_skills,380,کشاورزی و تأمین,,Agriculture & sourcing,0,1,,
spec_food_processing,food-processing,family,spec_skills,390,فرآوریِ غذا,,Food processing,0,1,,
spec_personal_effectiveness,personal-effectiveness,family,spec_skills,400,کارِ گروهی و مهارت‌های فردی,,Personal effectiveness,0,1,,
spec_legal_compliance,legal-compliance,family,spec_skills,410,قانون و مجوزها,,Legal & compliance,0,1,,
spec_kitchen_iranian,kitchen-iranian,family,spec_kitchen,10,آشپزیِ ایرانی و محلی,غذای ایرانی,Iranian and regional cooking,0,1,,
spec_kitchen_quick_street,kitchen-quick-street,family,spec_kitchen,20,غذای سریع و خیابانی,فست‌فود و خیابانی,Quick-service and street food,0,1,,
spec_kitchen_large_scale,kitchen-large-scale,family,spec_kitchen,30,آشپزخانه‌های بزرگ و سازمانی,آشپزخانهٔ بزرگ,Large-scale and institutional kitchens,0,1,,
spec_culinary_iranian,culinary-iranian,family,spec_culinary_techniques,500,فنونِ آشپزیِ ایرانی,,Iranian culinary techniques,0,1,,
